"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"SI",3,2002,1488240,826030,0,316400,2630670
"SI",4,2003,1812330,771790,0,405670,2989790
"SI",5,2004,1674270,446350,146250,678000,2944870
"SI",6,2005,1803363,280404,200336,872489,3156591
"SI",7,2006,2077487,474528,128220,987586,3667821
"SI",8,2007,1944919,487085,147766,748039,3327809
"SI",9,2008,1891002,503448,152732,901460,3448641
"SI",10,2009,1718035,541507,133103,981786,3374431
"SI",11,2010,1660632,476928,159567,1093459,3390586
"SI",12,2011,1851222,530486,206707,1310230,3898646
"SI",13,2012,1945819,629417,201824,1071795,3848854
"SI",14,2013,2014099,663048,204181,1114429,3995757
"SI",15,2014,2997973,1109523,236129,1622603,5966228
"SI",16,2015,3346200,1114090,236948,1216460,5913698
"ES",1,1992,7923300,4863100,440000,2090000,15316400
"ES",2,1993,7767100,4804800,255200,2316600,15143700
"ES",3,1994,8849500,5437300,510400,2038300,16835500
"ES",4,1995,8627300,5669400,892100,2493700,17682500
"ES",5,1996,8349000,5327300,620400,2897400,17194100
"ES",6,1997,8349000,5327300,620400,2897400,17194100
"ES",7,1998,8253300,6227100,381700,1499300,16361400
"ES",8,1999,8206000,6270000,374000,1441000,16291000
"ES",9,2000,8573400,5419700,352000,1408000,15753100
"ES",10,2001,9103600,5500000,302500,1738000,16644100
"ES",11,2002,9450100,5784900,341000,1846900,17422900
"ES",12,2003,9509500,5973000,363000,1870000,17715500
"ES",13,2004,9597500,6061000,379500,1881000,17919000
"ES",14,2005,9010100,5676000,575300,1822700,17084100
"ES",15,2006,8481000,7038900,346500,1421200,17287600
"ES",16,2007,7273200,6527400,284900,1895300,15980800
"ES",17,2008,7998025,7872086,660000,2200000,18730111
"ES",18,2009,5883437,7206602,638000,1650000,15378039
"ES",19,2010,5813745,6252594,682000,4950000,17698339
"ES",20,2011,5077295,7603254,682000,4950000,18312549
"ES",21,2012,5428995,7360480,770000,3520000,17079474
"ES",22,2013,5351503,7985225,1314500,2464000,17115228
"ES",23,2014,6364964,7590013,1416800,2663100,18034877
"ES",24,2015,6738758,7572637,1416800,2663100,18391295
"SE",1,1996,55472400,4377600,2166000,2166000,64182000
"SE",2,1997,59804400,4491600,2166000,2166000,68628000
"SE",3,1998,58637040,3720960,3363000,3363000,69084000
"SE",4,1999,56566800,3625200,3363000,3363000,66918000
"SE",5,2000,61628400,3807600,3363000,3363000,72162000
"SE",6,2001,61434600,3887400,3363000,3363000,72048000
"SE",7,2002,65208000,3990000,3363000,3363000,75924000
"SE",8,2003,65664000,4104000,3363000,3363000,76494000
"SE",9,2004,65892000,4104000,3363000,3363000,76722000
"SE",10,2005,100434000,4788000,4446000,2280000,111948000
"SE",11,2006,62130000,4788000,4446000,2280000,73644000
"SE",12,2007,77850600,4571400,3363000,3363000,89148000
"SE",13,2008,70167000,3819000,3363000,3363000,80712000
"SE",14,2009,64011000,3477000,3363000,3363000,74214000
"SE",15,2010,71124600,4457400,3363000,3363000,82308000
"SE",16,2011,71060000,4411800,3363000,3363000,82197800
"SE",17,2012,67426250,4393750,3363000,3363000,78546000
"SE",18,2013,68183400,4434600,3363000,3363000,79344000
"SE",19,2014,72595200,4240800,3363000,3363000,83562000
"SE",20,2015,72686400,4035600,3990000,3990000,84702000
"UK",1,1997,7432320,699960,112000,150480,8394760
"UK",2,1998,7700000,565440,109760,149340,8524540
"UK",3,1999,7957600,524400,109760,149340,8741100
"UK",4,2000,7967680,503880,109760,149340,8730660
"UK",5,2001,8107680,490200,109760,149340,8856980
"UK",6,2002,7985600,469680,109760,149340,8714380
"UK",7,2003,8349600,412680,109760,149340,9021380
"UK",8,2004,8673280,362520,109760,149340,9294900
"UK",9,2005,8850240,342000,109760,249660,9551660
"UK",10,2006,8896160,186960,109760,249660,9442540
"UK",11,2007,9451680,140220,219520,299820,10111240
"UK",12,2008,8674219,130555,329952,299250,9433976
"UK",13,2009,8418403,135544,714896,399000,9667842
"UK",14,2010,9205003,134987,1154832,399000,10893823
"UK",15,2011,9704343,140307,989856,399000,11233506
"UK",16,2012,9712380,131988,1099840,399000,11343208
"UK",17,2013,10225757,126605,1374800,392000,12119162
"UK",18,2014,10354995,129372,1649760,392000,12526127
"UK",19,2015,9539149,125346,1759744,392000,11816239
